q0,q1,q2,q3,x_cowell,y_cowell,z_cowell
0,0,0,1,5492000.34,3984001.4,2958.81
3.5382531621637e-05,3.53850356459312e-05,3.5383783707619e-05,0.999999998121982,5491840.94276727,3984224.34973544,3107.45389069236
7.07625588202933e-05,7.07725749174263e-05,7.07675674595389e-05,0.999999992487927,5491681.53401205,3984447.29111154,3256.09777486494
0.000106140081197327,0.000106162617415711,0.000106151351300061,0.999999983097836,5491522.11373468,3984670.22412783,3404.74165220588
0.000141515098354138,0.000141555162741968,0.000141535135273485,0.999999969951709,5491362.68193552,3984893.14878386,3553.3855224033
0.000318352591886995,0.000318555417831127,0.000318454058684682,0.999999847880531,5490565.35012476,3986007.64664394,4296.60475532252
0.00049512739514977,0.000495618183771647,0.000495372992063581,0.999999631908471,5489767.73032071,3987121.93542838,5039.82376287455
0.000671839458367062,0.000672743410661941,0.000672291940947775,0.999999322035566,5488969.82256644,3988236.01507963,5783.04250607694
0.000848488731790956,0.000849931048573044,0.000849210910874844,0.999998918261871,5488171.62690506,3989349.88554017,6526.26094594756
0.00173079151276595,0.00173680365401995,0.00173380626997098,0.999995490884646,5484176.33150106,3994916.0979695,10242.3472309774
0.0026115171025409,0.00262522902991794,0.00261840298575485,0.999989716005504,5480173.84489312,4000477.07200851,13958.4200856005
0.00349065931364935,0.00351520090444883,0.0035030017503505,0.99998159365005,5476164.17248584,4006032.80047938,17674.4746374603
0.00436821197594114,0.0044067129888221,0.00438760325583587,0.999971123854303,5472147.31969317,4011583.2762116,21390.5060144416
0.00873191734247367,0.00888715529256354,0.00881067612649821,0.999883565259738,5451955.54008378,4039256.61335026,39970.1447769871
0.013054968481862,0.0134051498249149,0.0132339212630932,0.999737332044828,5431585.06831225,4066797.56066856,58548.4734930654
0.0173366139225579,0.0179598917271042,0.0176574249421888,0.99953244041965,5411036.59161974,4094205.23014147,77124.8834495265
0.0215761134413557,0.022550565977219,0.0220812732942366,0.999268913092256,5390310.80302309,4121478.73841451,95698.7661475214
0.0421163971463861,0.0460137748499038,0.0442087206439868,0.997072981598886,5284046.80653164,4255803.30126263,188509.01253853
0.0614986474373594,0.0702473948801308,0.0663574857705247,0.993418292542545,5173457.2676745,4386644.03018826,281164.937693648
0.0796438678289947,0.0951392631609507,0.0885376114409653,0.988314963097674,5058635.19130771,4513895.88184983,373590.811897073
0.0964812753740628,0.120572347238024,0.110758689892971,0.981777054731317,4939676.92951181,4637456.98656949,465711.234726679
0.133287822093339,0.187440770752395,0.168010570126514,0.958578511269226,4616306.8462708,4936864.75450747,700104.362264844
0.160321714572818,0.254908418484644,0.225696301960781,0.92648789808789,4268165.53919457,5209777.98644188,930739.310105263
0.17720027054641,0.320771676521173,0.283857392359241,0.886075942830572,3897163.26773871,5454778.99510436,1156385.63048325
0.18396244968452,0.382827649674613,0.342475202364996,0.838040299458049,3505318.0296697,5670609.90945832,1375848.80529204
0.178511263850112,0.453848353639371,0.418611789954358,0.766106761416891,2972298.96973244,5904256.96617439,1648048.42570685
0.158914395818173,0.510866521975445,0.494739504394189,0.684831683202704,2412936.7867829,6085557.70247306,1905633.85775046
0.127950300271755,0.550525949562671,0.570027368615446,0.596337738658085,1832255.22895803,6213041.37968187,2146360.88577444
0.0891772639961051,0.570340219528402,0.643417859275158,0.502765261270342,1235404.63225285,6285719.73769262,2368156.96509924
0.0488326533183303,0.569453492021804,0.710197514600122,0.411044502030954,657863.163093332,6303527.29178158,2559707.0079373
0.00879237229037825,0.549196520504881,0.772614734742722,0.318390244375158,75109.3600831435,6271333.32803681,2730950.74608565
-0.027371808876444,0.510344779674031,0.82919553580447,0.226348742740566,-508224.488052323,6189515.9381961,2880580.6413839
-0.0562959467483944,0.454594087347849,0.87842211163105,0.136196827884229,-1087550.84642154,6058830.97990247,3007469.33616631
-0.073478278986435,0.393194376261297,0.914625823423568,0.0588109523850868,-1593336.56832515,5903288.60376319,3100044.00737848
-0.0811414292637252,0.322820212082201,0.942844783442028,-0.0157128439309238,-2089303.81277939,5711381.32042678,3173521.00112484
-0.0781974285670337,0.246030698808083,0.962178382569591,-0.0869874561375112,-2572417.52283858,5484360.50337211,3227484.50244041
-0.0640765131636591,0.165614353743243,0.971851648428526,-0.154823963719293,-3039744.598137,5223676.45571961,3261638.5157737
-0.0382046980590377,0.0830286687146843,0.971134551604405,-0.220327764700222,-3496426.84304466,4925365.49776187,3275877.60472381
-0.00136825387562012,0.00276104779318954,0.959326522250023,-0.282282001204633,-3930930.87556863,4595818.84529466,3269340.27334036
0.0452506787676611,-0.0723227693173809,0.936236028092799,-0.3408575843521,-4340535.25810775,4237174.68943094,3242100.03277902
0.0999329034820467,-0.139635583965071,0.901904528777028,-0.396337658397317,-4722691.25707792,3851732.21321537,3194356.0546835
0.172208927305403,-0.206394464949186,0.8470159910858,-0.458594942230725,-5137172.96605438,3363134.89019114,3111582.11734617
0.248385533109739,-0.256387797693767,0.777734596719914,-0.517396193647039,-5506052.15332509,2844694.37119447,3001191.70417058
0.323798611301724,-0.288005234498472,0.695507650491802,-0.573128739750441,-5826104.59211293,2301051.10326801,2864197.55922214
0.393599189265641,-0.300833908244473,0.602136053147798,-0.626107667545589,-6094544.78532935,1737018.53736325,2701827.99176826
0.459942499671881,-0.293743231949544,0.485567769354396,-0.682928804520364,-6333422.39740186,1079459.09889691,2488969.88403092
0.507077341027735,-0.266680834114575,0.361069683421662,-0.735787052513142,-6500315.10152598,409649.255847843,2247830.61642073
