q0,q1,q2,q3,x_cowell,y_cowell,z_cowell
0,0,0,1,5492000.34,3984001.4,2958.81
1.76918918491948e-05,0,0,0.999999999843499,5491840.94276727,3984224.34973544,3107.45389069236
3.5383783692852e-05,0,0,0.999999999373994,5491681.53401205,3984447.29111154,3256.09777486494
5.30756755254339e-05,0,0,0.999999998591486,5491522.11373468,3984670.22412783,3404.74165220588
7.07675673414031e-05,0,0,0.999999997495976,5491362.68193552,3984893.14878386,3553.3855224033
0.000159227025978239,0,0,0.999999987323377,5490565.35012476,3986007.64664394,4296.60475532252
0.000247686483369112,0,0,0.999999969325702,5489767.73032071,3987121.93542838,5039.82376287455
0.000336145938821819,0,0,0.999999943502952,5488969.82256644,3988236.01507963,5783.04250607694
0.000424605391644159,0,0,0.999999909855127,5488171.62690506,3989349.88554017,6526.26094594756
0.000866902592073285,0,0,0.999999624239877,5484176.33150106,3994916.0979695,10242.3472309774
0.00130919962291294,0,0,0.999999142997806,5480173.84489312,4000477.07200851,13958.4200856005
0.00175149639763794,0,0,0.999998466129008,5476164.17248584,4006032.80047938,17674.4746374603
0.00219379282972313,0,0,0.999997593633615,5472147.31969317,4011583.2762116,21390.5060144416
0.0044052668221975,0,0,0.999990296765036,5451955.54008378,4039256.61335026,39970.1447769871
0.00661671926995207,0,0,0.999978109273449,5431585.06831225,4066797.56066856,58548.4734930654
0.00882813935748846,0,0,0.999961031218459,5411036.59161974,4094205.23014147,77124.8834495265
0.0110395162695089,0,0,0.999939062683589,5390310.80302309,4121478.73841451,95698.7661475214
0.0220953747400884,0,0,0.999755867407186,5284046.80653164,4255803.30126263,188509.01253853
0.0331485316713307,0,0,0.99945043641395,5173457.2676745,4386644.03018826,281164.937693648
0.0441976356016811,0,0,0.99902280705058,5058635.19130771,4513895.88184983,373590.811897073
0.0552413356969997,0,0,0.998473031598957,4939676.92951181,4637456.98656949,465711.234726679
0.109857164946285,0,0,0.99394738457826,4292340.32433876,5192161.0066852,915310.11053695
0.164142945239559,0,0,0.986436563357261,3559285.88289944,5643076.79777016,1346585.91235931
0.217935532122135,0,0,0.975963167255118,2755496.32633262,5981595.91606039,1750990.85326672
0.27107363115056,0,0,0.962558614576198,1896990.17376539,6201390.62701795,2120649.4982729
0.343557088933196,0,0,0.93913179407565,644425.607002662,6302297.71286503,2563441.64199102
0.414046478997668,0,0,0.910255740563955,-632284.933972968,6164000.74076475,2908838.57005091
0.482132388401499,0,0,0.876098373502808,-1884309.53358522,5793147.28440818,3144225.98077557
0.547420993367565,0,0,0.836857368982593,-3064927.1793608,5203752.93925927,3260897.686611
0.606762257830441,0,0,0.79488336406828,-4084687.58646362,4457838.64586759,3257642.0378912
0.662897536667962,0,0,0.748710128073307,-4965092.69594579,3560245.90946149,3143425.99249405
0.715530036364843,0,0,0.698581968747925,-5676253.68106592,2542106.54053625,2922416.75933645
0.764382518700575,0,0,0.644763030194012,-6193831.60865552,1437482.84156438,2601834.37468773
0.812566909587896,0,0,0.582867924527311,-6514484.74113622,190849.229001824,2156224.72279404
0.855751445017649,0,0,0.517387151319209,-6576339.23468624,-1062959.52115669,1625134.12836133
0.893670298340188,0,0,0.448724189078948,-6376417.96734632,-2273478.42297898,1029783.55245639
0.926091018001681,0,0,0.377300180726977,-5920574.64872229,-3392232.18542717,393329.197498204
0.952224921997758,0,0,0.305397606287875,-5244591.24039997,-4351662.53977249,-243169.263099288
0.97278535519819,0,0,0.231708119650416,-4366702.79132881,-5143041.53868943,-870076.91617137
0.987652028308188,0,0,0.156663559830364,-3320170.16808412,-5734451.22133511,-1462792.0220038
0.996738289082198,0,0,0.0807018158252444,-2143845.55290144,-6100752.85516119,-1997912.08082758
0.999997471494484,0,0,0.00224877847710707,-848123.896407232,-6224915.35955006,-2464648.90827074
0.997091218925772,0,0,-0.0762174595556568,482576.559634792,-6088371.77065234,-2827991.33842245
0.988037695068971,0,0,-0.154212558252543,1791796.03681118,-5695389.86948568,-3071853.10706485
0.972892645025125,0,0,-0.231257218819255,3023854.23678367,-5059684.27970571,-3184545.68708467
0.953806900447626,0,0,-0.300420366584046,4037004.46003439,-4287187.01806147,-3167509.95236002
0.929811297780741,0,0,-0.368036615731768,4904695.96074662,-3360783.13517608,-3036593.41348344
0.901029612947512,0,0,-0.43375757813744,5594962.99055925,-2313676.96209253,-2796212.97660445
0.867609662510267,0,0,-0.497245888388049,6081871.0331387,-1182801.72495328,-2454342.2178354
0.827919837058095,0,0,-0.560846452610424,6353167.36550407,44684.7197549711,-2001442.05628505
0.78357716964828,0,0,-0.621294470606323,6372234.2443991,1269997.02508238,-1469257.65339577
0.734831290493855,0,0,-0.678249935135371,6138748.39546113,2444135.03125205,-879210.750218022
0.681955413278027,0,0,-0.731393747786235,5661320.35940125,3520719.27403003,-254413.907017217
0.626278047201657,0,0,-0.779599773982316,4972687.33684006,4442401.32558038,369526.738160034
0.567204277291046,0,0,-0.823577141391589,4095224.44019176,5194978.75553017,979254.426708916
0.505054940777589,0,0,-0.863087195361017,3063392.86605228,5750577.86979756,1551562.11792139
0.440166191839035,0,0,-0.897916323251739,1915963.43323971,6088589.32592074,2065062.84653191
0.370696098284975,0,0,-0.928754220833637,655926.30975418,6196430.43035869,2513278.10770983
0.299085006694688,0,0,-0.95422647142617,-629842.15649827,6057904.36827775,2861455.91123839
0.225747142936139,0,0,-0.974185930639614,-1889785.448993,5679937.22287,3096237.54726615
0.151104911214993,0,0,-0.988517731660241,-3074582.02171909,5077379.2329285,3208456.1845117
